split,formula,reaction,endpoint,n_atoms,dft_energy_eV,mace_energy_eV,endpoint_energy_error_eV
val,C2H2N2O,rxn3125,reactant,7,-7129.874339953398,-7136.709210497714,-6.834870544316
val,C2H2N2O,rxn3125,transition_state,7,-7126.325136570808,-7131.096381958921,-4.771245388112
val,C2H2N2O,rxn3125,product,7,-7127.188385281845,-7134.376913316490,-7.188528034645
val,C2H2N2O,rxn3126,reactant,7,-7129.874339953371,-7136.709210500562,-6.834870547192
val,C2H2N2O,rxn3126,transition_state,7,-7126.343804651218,-7131.602798924666,-5.258994273448
val,C2H2N2O,rxn3126,product,7,-7128.512309320558,-7133.384792908572,-4.872483588015
val,C2H2N2O,rxn3127,reactant,7,-7129.874339953371,-7136.709210500562,-6.834870547192
val,C2H2N2O,rxn3127,transition_state,7,-7126.235486347481,-7132.893746332747,-6.658259985265
val,C2H2N2O,rxn3127,product,7,-7130.156222362986,-7137.478987923727,-7.322765560741
val,C2H2N2O,rxn9455,reactant,7,-7129.179539247361,-7136.207315596267,-7.027776348906
val,C2H2N2O,rxn9455,transition_state,7,-7125.035708406348,-7131.547174262807,-6.511465856459
val,C2H2N2O,rxn9455,product,7,-7127.630855164550,-7134.793696585496,-7.162841420946
train,C2H2N2O2,rxn3534,reactant,8,-9176.337552894462,-9185.263811883460,-8.926258988999
train,C2H2N2O2,rxn3534,transition_state,8,-9172.614587102827,-9181.333870389009,-8.719283286182
train,C2H2N2O2,rxn3534,product,8,-9173.396615287960,-9182.164395152800,-8.767779864840
train,C2H2N2O2,rxn3535,reactant,8,-9176.337552894462,-9185.263811883460,-8.926258988999
train,C2H2N2O2,rxn3535,transition_state,8,-9173.161452880930,-9181.466467433638,-8.305014552709
train,C2H2N2O2,rxn3535,product,8,-9174.427610785140,-9183.375870901053,-8.948260115912
train,C2H2N2O2,rxn3536,reactant,8,-9176.337552894462,-9185.263811883460,-8.926258988999
train,C2H2N2O2,rxn3536,transition_state,8,-9171.186745422869,-9180.048007446434,-8.861262023565
train,C2H2N2O2,rxn3536,product,8,-9173.086273868992,-9182.154464401248,-9.068190532256
train,C2H2N2O2,rxn3537,reactant,8,-9176.337552894462,-9185.263811883460,-8.926258988999
train,C2H2N2O2,rxn3537,transition_state,8,-9173.780451480059,-9182.733204710994,-8.952753230935
train,C2H2N2O2,rxn3537,product,8,-9176.232726513195,-9185.103320389122,-8.870593875927
train,C2H2N2O2,rxn3878,reactant,8,-9176.863648695034,-9185.697591516460,-8.833942821426
train,C2H2N2O2,rxn3878,transition_state,8,-9174.299278738332,-9183.047862875686,-8.748584137355
train,C2H2N2O2,rxn3878,product,8,-9176.455117940346,-9185.382964784747,-8.927846844401
train,C2H2N2O2,rxn3879,reactant,8,-9176.863648695034,-9185.697591516460,-8.833942821426
train,C2H2N2O2,rxn3879,transition_state,8,-9172.885506370027,-9180.101530587010,-7.216024216983
train,C2H2N2O2,rxn3879,product,8,-9173.773321140932,-9180.883279883225,-7.109958742292
train,C2H2N2O2,rxn9393,reactant,8,-9176.863648695034,-9185.697591516460,-8.833942821426
train,C2H2N2O2,rxn9393,transition_state,8,-9173.937672075377,-9180.503416751955,-6.565744676578
train,C2H2N2O2,rxn9393,product,8,-9177.555085208058,-9186.344700518361,-8.789615310303
train,C2H2N4,rxn0127,reactant,8,-8061.087488622239,-8069.003192278991,-7.915703656752
train,C2H2N4,rxn0127,transition_state,8,-8058.009189921194,-8064.520130511769,-6.510940590575
train,C2H2N4,rxn0127,product,8,-8058.300507373923,-8066.493687747216,-8.193180373292
train,C2H2N4,rxn0827,reactant,8,-8061.417086696443,-8069.267588721333,-7.850502024889
train,C2H2N4,rxn0827,transition_state,8,-8057.111196937281,-8064.929055038343,-7.817858101062
train,C2H2N4,rxn0827,product,8,-8058.722049606207,-8066.086885664175,-7.364836057967
train,C2H2N4,rxn0828,reactant,8,-8061.417086696960,-8069.267588721043,-7.850502024084
train,C2H2N4,rxn0828,transition_state,8,-8057.460486375087,-8062.586667400032,-5.126181024944
train,C2H2N4,rxn0828,product,8,-8058.473804349953,-8066.034136959433,-7.560332609481
train,C2H2N4,rxn0829,reactant,8,-8061.417086696960,-8069.267588721043,-7.850502024084
train,C2H2N4,rxn0829,transition_state,8,-8057.854699947647,-8065.073243167589,-7.218543219942
train,C2H2N4,rxn0829,product,8,-8059.567905271660,-8067.700303495305,-8.132398223644
train,C2H2N4,rxn0830,reactant,8,-8061.417086696443,-8069.267588721333,-7.850502024889
train,C2H2N4,rxn0830,transition_state,8,-8055.477679107888,-8062.458927917634,-6.981248809747
train,C2H2N4,rxn0830,product,8,-8058.371784816951,-8066.225273537370,-7.853488720420
train,C2H2N4,rxn0831,reactant,8,-8061.417086696960,-8069.267588721043,-7.850502024084
train,C2H2N4,rxn0831,transition_state,8,-8057.817647576248,-8064.886461810042,-7.068814233795
train,C2H2N4,rxn0831,product,8,-8058.767776575682,-8066.154509906341,-7.386733330660
train,C2H2N4,rxn0832,reactant,8,-8061.417086696960,-8069.267588721043,-7.850502024084
train,C2H2N4,rxn0832,transition_state,8,-8058.402457181857,-8064.674857987005,-6.272400805147
train,C2H2N4,rxn0832,product,8,-8058.854628504208,-8067.040144359167,-8.185515854960
train,C2H2N4,rxn0833,reactant,8,-8061.417086696443,-8069.267588721333,-7.850502024889
train,C2H2N4,rxn0833,transition_state,8,-8057.822090492306,-8062.424470913968,-4.602380421661
train,C2H2N4,rxn0833,product,8,-8059.200598425822,-8066.909148928766,-7.708550502944
train,C2H2N4,rxn0834,reactant,8,-8061.417086696960,-8069.267588721043,-7.850502024084
train,C2H2N4,rxn0834,transition_state,8,-8059.234728680219,-8066.716454513007,-7.481725832788
train,C2H2N4,rxn0834,product,8,-8062.473516423805,-8069.357181421381,-6.883664997576
train,C2H2N4,rxn0835,reactant,8,-8061.417086696443,-8069.267588721333,-7.850502024889
train,C2H2N4,rxn0835,transition_state,8,-8057.344479336783,-8064.145381275609,-6.800901938826
train,C2H2N4,rxn0835,product,8,-8059.488419049704,-8066.483445893925,-6.995026844221
train,C2H2N4,rxn2603,reactant,8,-8060.496880369916,-8068.323608552338,-7.826728182422
train,C2H2N4,rxn2603,transition_state,8,-8057.730142177687,-8065.993110002042,-8.262967824356
train,C2H2N4,rxn2603,product,8,-8059.570022995193,-8067.641991020096,-8.071968024903
train,C2H2N4,rxn2604,reactant,8,-8060.496880368773,-8068.323608555358,-7.826728186586
train,C2H2N4,rxn2604,transition_state,8,-8059.176971022334,-8064.726781969737,-5.549810947403
train,C2H2N4,rxn2604,product,8,-8059.783447959785,-8067.817092022294,-8.033644062509
train,C2H2N4,rxn9029,reactant,8,-8061.417086696960,-8069.267588721043,-7.850502024084
train,C2H2N4,rxn9029,transition_state,8,-8057.137378549463,-8065.021850079723,-7.884471530259
train,C2H2N4,rxn9029,product,8,-8060.560256796831,-8068.576593964374,-8.016337167543
train,C2H2O2,rxn3279,reactant,6,-6197.553275415229,-6203.561202273536,-6.007926858307
train,C2H2O2,rxn3279,transition_state,6,-6194.710994822814,-6199.541176170775,-4.830181347960
train,C2H2O2,rxn3279,product,6,-6195.076810436044,-6200.454786433288,-5.377975997244
train,C2H3N,rxn2857,reactant,6,-3611.287002637770,-3614.948262713238,-3.661260075468
train,C2H3N,rxn2857,transition_state,6,-3608.431506104208,-3611.655222781828,-3.223716677620
train,C2H3N,rxn2857,product,6,-3610.244696797599,-3613.925155530722,-3.680458733123
train,C2H3N,rxn2858,reactant,6,-3611.287002637770,-3614.948262713238,-3.661260075468
train,C2H3N,rxn2858,transition_state,6,-3606.687398733639,-3609.718478314464,-3.031079580825
train,C2H3N,rxn2858,product,6,-3610.001185225104,-3613.723054684277,-3.721869459172
train,C2H3N3,rxn0295,reactant,8,-6589.463616316201,-6595.902040084598,-6.438423768397
train,C2H3N3,rxn0295,transition_state,8,-6586.968223824993,-6592.691053477312,-5.722829652319
train,C2H3N3,rxn0295,product,8,-6588.434147199953,-6594.911045193096,-6.476897993143
train,C2H3N3,rxn0296,reactant,8,-6589.463616319929,-6595.902040084614,-6.438423764685
train,C2H3N3,rxn0296,transition_state,8,-6585.606364324778,-6591.161770279396,-5.555405954618
train,C2H3N3,rxn0296,product,8,-6585.906801483191,-6592.082385677059,-6.175584193868
train,C2H3N3,rxn0297,reactant,8,-6589.463616319929,-6595.902040084614,-6.438423764685
train,C2H3N3,rxn0297,transition_state,8,-6587.873170072252,-6592.155702246550,-4.282532174298
train,C2H3N3,rxn0297,product,8,-6588.241449519559,-6594.969997513133,-6.728547993574
train,C2H3N3,rxn0298,reactant,8,-6589.463616319929,-6595.902040084614,-6.438423764685
train,C2H3N3,rxn0298,transition_state,8,-6585.112279399991,-6590.123594324538,-5.011314924547
train,C2H3N3,rxn0298,product,8,-6585.997240395807,-6592.898005688789,-6.900765292982
train,C2H3N3,rxn0299,reactant,8,-6589.463616316201,-6595.902040084598,-6.438423768397
train,C2H3N3,rxn0299,transition_state,8,-6583.948533928597,-6590.097472120142,-6.148938191544
train,C2H3N3,rxn0299,product,8,-6586.880537879049,-6593.028329556569,-6.147791677519
train,C2H3N3,rxn0300,reactant,8,-6589.463616319929,-6595.902040084614,-6.438423764685
train,C2H3N3,rxn0300,transition_state,8,-6587.190449260729,-6592.727745014664,-5.537295753935
train,C2H3N3,rxn0300,product,8,-6589.686958715985,-6596.073526065977,-6.386567349991
train,C2H3N3,rxn0301,reactant,8,-6589.463616316201,-6595.902040084598,-6.438423768397
train,C2H3N3,rxn0301,transition_state,8,-6585.425660369282,-6590.852412689654,-5.426752320372
train,C2H3N3,rxn0301,product,8,-6587.522758215739,-6593.607208141918,-6.084449926178
train,C2H3N3,rxn0989,reactant,8,-6589.908649713515,-6596.402128500688,-6.493478787173
train,C2H3N3,rxn0989,transition_state,8,-6585.098682348825,-6591.054702975741,-5.956020626916
train,C2H3N3,rxn0989,product,8,-6586.701287887367,-6593.323084517741,-6.621796630375
train,C2H3N3,rxn0990,reactant,8,-6589.908649719665,-6596.402128500609,-6.493478780944
train,C2H3N3,rxn0990,transition_state,8,-6587.481346408787,-6593.071693322677,-5.590346913890
train,C2H3N3,rxn0990,product,8,-6588.994770569378,-6595.423466739458,-6.428696170080
train,C2H3N3,rxn0991,reactant,8,-6589.908649719665,-6596.402128500611,-6.493478780946
train,C2H3N3,rxn0991,transition_state,8,-6586.773939548872,-6592.485724325635,-5.711784776763
train,C2H3N3,rxn0991,product,8,-6587.039600088427,-6593.867305446800,-6.827705358373
train,C2H3N3,rxn0992,reactant,8,-6589.908649719665,-6596.402128500611,-6.493478780946
train,C2H3N3,rxn0992,transition_state,8,-6586.770083285342,-6591.471964355344,-4.701881070001
train,C2H3N3,rxn0992,product,8,-6588.978315266062,-6594.069068350080,-5.090753084018
train,C2H3N3,rxn0993,reactant,8,-6589.908649719665,-6596.402128500611,-6.493478780946
train,C2H3N3,rxn0993,transition_state,8,-6585.412497808358,-6590.696400414056,-5.283902605698
train,C2H3N3,rxn0993,product,8,-6588.758940865201,-6595.614797972010,-6.855857106809
train,C2H3N3,rxn0994,reactant,8,-6589.908649719665,-6596.402128500611,-6.493478780946
train,C2H3N3,rxn0994,transition_state,8,-6585.625920217311,-6591.126911426056,-5.500991208745
train,C2H3N3,rxn0994,product,8,-6585.753255722536,-6591.735790993206,-5.982535270670
train,C2H3N3,rxn2803,reactant,8,-6590.225544483533,-6596.664979608254,-6.439435124721
train,C2H3N3,rxn2803,transition_state,8,-6585.965371612653,-6590.507170934106,-4.541799321453
train,C2H3N3,rxn2803,product,8,-6587.933382266463,-6594.471613113283,-6.538230846820
train,C2H3N3,rxn2804,reactant,8,-6590.225544484892,-6596.664979611309,-6.439435126416
train,C2H3N3,rxn2804,transition_state,8,-6587.737314064610,-6593.205439642190,-5.468125577580
train,C2H3N3,rxn2804,product,8,-6588.995048472788,-6595.424201606066,-6.429153133278
train,C2H3N3,rxn2805,reactant,8,-6590.225544483533,-6596.664979608254,-6.439435124721
train,C2H3N3,rxn2805,transition_state,8,-6586.810091401219,-6591.888140833572,-5.078049432353
train,C2H3N3,rxn2805,product,8,-6588.978237823764,-6594.068652375464,-5.090414551700
train,C2H3N3,rxn2806,reactant,8,-6590.225544484892,-6596.664979611309,-6.439435126416
train,C2H3N3,rxn2806,transition_state,8,-6586.334642062339,-6591.255558739642,-4.920916677303
train,C2H3N3,rxn2806,product,8,-6587.652410647515,-6593.147921882247,-5.495511234732
train,C2H3N3,rxn2807,reactant,8,-6590.225544483533,-6596.664979608254,-6.439435124721
train,C2H3N3,rxn2807,transition_state,8,-6583.909683393898,-6591.610616587028,-7.700933193129
train,C2H3N3,rxn2807,product,8,-6585.948866011974,-6591.999470983978,-6.050604972004
train,C2H3N3,rxn2808,reactant,8,-6590.225544483533,-6596.664979608254,-6.439435124721
train,C2H3N3,rxn2808,transition_state,8,-6585.775914345577,-6590.986815427886,-5.210901082309
train,C2H3N3,rxn2808,product,8,-6586.401518885543,-6593.380898041415,-6.979379155872
train,C2H3N3,rxn2809,reactant,8,-6590.225544483533,-6596.664979608254,-6.439435124721
train,C2H3N3,rxn2809,transition_state,8,-6586.226486279176,-6591.862948125191,-5.636461846015
train,C2H3N3,rxn2809,product,8,-6589.174049489758,-6595.845373251870,-6.671323762112
train,C2H3N3,rxn2810,reactant,8,-6590.225544484892,-6596.664979611309,-6.439435126416
train,C2H3N3,rxn2810,transition_state,8,-6584.807319369431,-6590.807453451627,-6.000134082196
train,C2H3N3,rxn2810,product,8,-6585.144853056575,-6591.055244082507,-5.910391025932
train,C2H3N3,rxn2811,reactant,8,-6590.225544484892,-6596.664979611309,-6.439435126416
train,C2H3N3,rxn2811,transition_state,8,-6586.027379096180,-6591.910865674567,-5.883486578387
train,C2H3N3,rxn2811,product,8,-6587.942672563562,-6594.014575293682,-6.071902730120
train,C2H3N3,rxn3262,reactant,8,-6589.686510374033,-6596.073358325581,-6.386847951548
train,C2H3N3,rxn3262,transition_state,8,-6587.191108347030,-6592.727847018834,-5.536738671804
train,C2H3N3,rxn3262,product,8,-6589.463853138064,-6595.902351118493,-6.438497980429
train,C2H3N3,rxn3263,reactant,8,-6589.686510373272,-6596.073358325559,-6.386847952287
train,C2H3N3,rxn3263,transition_state,8,-6585.601946055839,-6590.931365122835,-5.329419066996
train,C2H3N3,rxn3263,product,8,-6586.306130215115,-6593.086070466914,-6.779940251799
train,C2H3N3,rxn3264,reactant,8,-6589.686510373272,-6596.073358325559,-6.386847952287
train,C2H3N3,rxn3264,transition_state,8,-6585.732692234501,-6590.968364446591,-5.235672212090
train,C2H3N3,rxn3264,product,8,-6587.202656425889,-6592.831788135019,-5.629131709130
train,C2H3N3,rxn3265,reactant,8,-6589.686510373272,-6596.073358325559,-6.386847952287
train,C2H3N3,rxn3265,transition_state,8,-6585.733173232348,-6590.969836635235,-5.236663402887
train,C2H3N3,rxn3265,product,8,-6587.388964078055,-6594.067658698370,-6.678694620315
train,C2H3N3O,rxn0000,reactant,9,-8634.722421117682,-8642.869164712001,-8.146743594320
train,C2H3N3O,rxn0000,transition_state,9,-8632.295162373204,-8640.843110611208,-8.547948238003
train,C2H3N3O,rxn0000,product,9,-8633.290823628562,-8641.750913399854,-8.460089771292
train,C2H3N3O,rxn0001,reactant,9,-8634.722421117682,-8642.869164712001,-8.146743594320
train,C2H3N3O,rxn0001,transition_state,9,-8631.149461739384,-8638.342359023289,-7.192897283905
train,C2H3N3O,rxn0001,product,9,-8633.340283953505,-8641.430069855474,-8.089785901970
train,C2H3N3O,rxn0012,reactant,9,-8636.746413647603,-8645.256042533583,-8.509628885980
train,C2H3N3O,rxn0012,transition_state,9,-8633.946377129567,-8641.619144945969,-7.672767816402
train,C2H3N3O,rxn0012,product,9,-8634.969283824177,-8643.599236088472,-8.629952264295
train,C2H3N3O,rxn0013,reactant,9,-8636.746413647603,-8645.256042533583,-8.509628885980
train,C2H3N3O,rxn0013,transition_state,9,-8634.330823333265,-8642.086057476135,-7.755234142871
train,C2H3N3O,rxn0013,product,9,-8636.678043515836,-8645.217178154595,-8.539134638759
train,C2H3N3O,rxn0014,reactant,9,-8636.746413647603,-8645.256042533581,-8.509628885979
train,C2H3N3O,rxn0014,transition_state,9,-8632.989251748793,-8641.000159361878,-8.010907613085
train,C2H3N3O,rxn0014,product,9,-8635.979165736782,-8644.749473896420,-8.770308159637
train,C2H3N3O,rxn0015,reactant,9,-8636.746413651332,-8645.256042528497,-8.509628877166
train,C2H3N3O,rxn0015,transition_state,9,-8634.692956345434,-8643.032889818351,-8.339933472917
train,C2H3N3O,rxn0015,product,9,-8637.127038123512,-8645.544628226893,-8.417590103381
train,C2H3N3O,rxn0016,reactant,9,-8636.746413647603,-8645.256042533583,-8.509628885980
train,C2H3N3O,rxn0016,transition_state,9,-8631.613813954657,-8639.763698017063,-8.149884062406
train,C2H3N3O,rxn0016,product,9,-8633.461090603125,-8642.045467369166,-8.584376766041
train,C2H3N3O,rxn0017,reactant,9,-8636.746413647603,-8645.256042533583,-8.509628885980
train,C2H3N3O,rxn0017,transition_state,9,-8631.007810402667,-8639.048731981906,-8.040921579239
train,C2H3N3O,rxn0017,product,9,-8631.294460861140,-8639.027483903470,-7.733023042330
train,C2H3N3O,rxn0018,reactant,9,-8636.746413647603,-8645.256042533583,-8.509628885980
train,C2H3N3O,rxn0018,transition_state,9,-8633.104383777523,-8642.071423358499,-8.967039580975
train,C2H3N3O,rxn0018,product,9,-8633.541806065403,-8643.120759699797,-9.578953634395
train,C2H3N3O,rxn0019,reactant,9,-8636.746413647603,-8645.256042533583,-8.509628885980
train,C2H3N3O,rxn0019,transition_state,9,-8632.232272125266,-8641.380081470612,-9.147809345346
train,C2H3N3O,rxn0019,product,9,-8633.570624193457,-8642.074586811439,-8.503962617982
train,C2H3N3O,rxn0331,reactant,9,-8636.660733526041,-8645.213042562014,-8.552309035973
train,C2H3N3O,rxn0331,transition_state,9,-8632.381127027820,-8641.351756993914,-8.970629966094
train,C2H3N3O,rxn0331,product,9,-8633.229178475469,-8641.722147045110,-8.492968569641
train,C2H3N3O,rxn0332,reactant,9,-8636.660733526041,-8645.213042562014,-8.552309035973
train,C2H3N3O,rxn0332,transition_state,9,-8632.193712436499,-8640.225540969903,-8.031828533403
train,C2H3N3O,rxn0332,product,9,-8633.490388780845,-8642.129207922697,-8.638819141852
train,C2H3N3O,rxn0333,reactant,9,-8636.660733520137,-8645.213042562562,-8.552309042425
train,C2H3N3O,rxn0333,transition_state,9,-8634.143566413557,-8642.637759655965,-8.494193242408
train,C2H3N3O,rxn0333,product,9,-8636.414410692385,-8644.878743659645,-8.464332967260
train,C2H3N3O,rxn0334,reactant,9,-8636.660733520137,-8645.213042562562,-8.552309042425
train,C2H3N3O,rxn0334,transition_state,9,-8631.949708953331,-8639.151762078043,-7.202053124713
train,C2H3N3O,rxn0334,product,9,-8632.306948449213,-8640.860070609646,-8.553122160432
train,C2H3N3O,rxn0335,reactant,9,-8636.660733526041,-8645.213042562014,-8.552309035973
train,C2H3N3O,rxn0335,transition_state,9,-8632.292747799655,-8638.698805654843,-6.406057855189
train,C2H3N3O,rxn0335,product,9,-8634.325819159130,-8642.873702315912,-8.547883156782
train,C2H3N3O,rxn0336,reactant,9,-8636.660733520137,-8645.213042562562,-8.552309042425
train,C2H3N3O,rxn0336,transition_state,9,-8634.291466037250,-8642.086804282229,-7.795338244980
train,C2H3N3O,rxn0336,product,9,-8636.446533584985,-8645.054371662904,-8.607838077918
train,C2H3N3O,rxn0337,reactant,9,-8636.660733526041,-8645.213042562014,-8.552309035973
train,C2H3N3O,rxn0337,transition_state,9,-8629.128307146817,-8635.860441664141,-6.732134517324
train,C2H3N3O,rxn0337,product,9,-8630.697622492407,-8638.352981784450,-7.655359292043
train,C2H3N3O,rxn0338,reactant,9,-8636.660733526041,-8645.213042562014,-8.552309035973
train,C2H3N3O,rxn0338,transition_state,9,-8634.348580672859,-8641.855190920951,-7.506610248092
train,C2H3N3O,rxn0338,product,9,-8635.641680556275,-8644.007473325189,-8.365792768915
train,C2H3N3O,rxn1693,reactant,9,-8636.154679869387,-8644.556841923435,-8.402162054048
train,C2H3N3O,rxn1693,transition_state,9,-8633.831570118120,-8641.636530951806,-7.804960833686
train,C2H3N3O,rxn1693,product,9,-8636.866212592116,-8645.455666418433,-8.589453826316
train,C2H3N3O,rxn1694,reactant,9,-8636.154679869387,-8644.556841923435,-8.402162054048
train,C2H3N3O,rxn1694,transition_state,9,-8633.081107849033,-8641.941550741525,-8.860442892492
train,C2H3N3O,rxn1694,product,9,-8634.393331898793,-8642.943713542983,-8.550381644191
train,C2H3N3O,rxn1695,reactant,9,-8636.154679869387,-8644.556841923435,-8.402162054048
train,C2H3N3O,rxn1695,transition_state,9,-8631.053773444684,-8637.951791185556,-6.898017740872
train,C2H3N3O,rxn1695,product,9,-8635.013691105893,-8643.519288573931,-8.505597468038
train,C2H3N3O,rxn1696,reactant,9,-8636.154679869387,-8644.556841923435,-8.402162054048
train,C2H3N3O,rxn1696,transition_state,9,-8632.142512871058,-8639.261218613590,-7.118705742532
train,C2H3N3O,rxn1696,product,9,-8632.623749069822,-8640.661456379647,-8.037707309824
train,C2H3N3O,rxn2164,reactant,9,-8635.049483337978,-8643.478184649299,-8.428701311321
train,C2H3N3O,rxn2164,transition_state,9,-8631.563014205210,-8637.698826060394,-6.135811855183
train,C2H3N3O,rxn2164,product,9,-8632.838945329382,-8640.839857874118,-8.000912544736
train,C2H3N3O,rxn2165,reactant,9,-8635.049483334167,-8643.478184648820,-8.428701314653
train,C2H3N3O,rxn2165,transition_state,9,-8631.735965791988,-8640.389395268681,-8.653429476693
train,C2H3N3O,rxn2165,product,9,-8633.272324050851,-8641.807557186088,-8.535233135237
train,C2H3N3O,rxn2166,reactant,9,-8635.049483337978,-8643.478184649299,-8.428701311321
train,C2H3N3O,rxn2166,transition_state,9,-8628.455023743296,-8637.029950669979,-8.574926926683
train,C2H3N3O,rxn2166,product,9,-8628.543371541251,-8638.514486006696,-9.971114465445
train,C2H3N3O,rxn3194,reactant,9,-8635.759987763571,-8644.383756472296,-8.623768708725
train,C2H3N3O,rxn3194,transition_state,9,-8629.765282014394,-8638.064282509937,-8.299000495543
train,C2H3N3O,rxn3194,product,9,-8632.603745625744,-8640.843016128956,-8.239270503213
train,C2H3N3O,rxn3195,reactant,9,-8635.759987767107,-8644.383756473771,-8.623768706664
train,C2H3N3O,rxn3195,transition_state,9,-8633.646894016796,-8642.137286135016,-8.490392118219
train,C2H3N3O,rxn3195,product,9,-8635.065878595968,-8643.750237678563,-8.684359082596
train,C2H3N3O,rxn3440,reactant,9,-8635.779290133009,-8644.286097110271,-8.506806977262
train,C2H3N3O,rxn3440,transition_state,9,-8630.166344504594,-8637.464606009773,-7.298261505179
train,C2H3N3O,rxn3440,product,9,-8632.741413581405,-8641.017345071021,-8.275931489616
train,C2H3N3O,rxn3441,reactant,9,-8635.779290133009,-8644.286097110271,-8.506806977262
train,C2H3N3O,rxn3441,transition_state,9,-8633.817643602160,-8640.477796930711,-6.660153328550
train,C2H3N3O,rxn3441,product,9,-8634.099836247100,-8643.016121085800,-8.916284838700
train,C2H3N3O,rxn3442,reactant,9,-8635.779290133009,-8644.286097110271,-8.506806977262
train,C2H3N3O,rxn3442,transition_state,9,-8631.132430983771,-8638.240143310759,-7.107712326988
train,C2H3N3O,rxn3442,product,9,-8632.196033205842,-8641.099213630359,-8.903180424517
train,C2H3N3O,rxn3443,reactant,9,-8635.779290133009,-8644.286097110271,-8.506806977262
train,C2H3N3O,rxn3443,transition_state,9,-8633.391241132300,-8641.386819758558,-7.995578626258
train,C2H3N3O,rxn3443,product,9,-8635.110882193931,-8643.615219893554,-8.504337699624
train,C2H3N3O,rxn3444,reactant,9,-8635.779290133009,-8644.286097110271,-8.506806977262
train,C2H3N3O,rxn3444,transition_state,9,-8633.622007091040,-8641.292715695299,-7.670708604259
train,C2H3N3O,rxn3444,product,9,-8635.989175197563,-8644.463418178140,-8.474242980577
train,C2H3N3O,rxn3445,reactant,9,-8635.779290133009,-8644.286097110271,-8.506806977262
train,C2H3N3O,rxn3445,transition_state,9,-8633.489729473751,-8641.796740905471,-8.307011431720
train,C2H3N3O,rxn3445,product,9,-8635.481681271227,-8643.851282153757,-8.369600882530
train,C2H3N3O,rxn3456,reactant,9,-8637.127714607250,-8645.544874218680,-8.417159611430
train,C2H3N3O,rxn3456,transition_state,9,-8633.348991533547,-8641.876019213705,-8.527027680158
train,C2H3N3O,rxn3456,product,9,-8634.269302658224,-8642.705777149406,-8.436474491182
train,C2H3N3O,rxn3457,reactant,9,-8637.127714607250,-8645.544874218680,-8.417159611430
train,C2H3N3O,rxn3457,transition_state,9,-8631.938750849347,-8638.797253431821,-6.858502582474
